Date,Open,High,Low,Close,Volume
2014-03-11,90.83,91.06,89.95,90.22,27484300
2014-03-12,89.81,90.61,89.48,90.56,27977200
2014-03-13,90.9,90.93,88.87,89.28,48542000
2014-03-14,88.99,89.38,88.63,88.67,38732300
2014-03-17,89.24,89.91,89.19,89.45,28467200
2014-03-18,89.56,90.64,89.53,90.53,31250200
2014-03-19,90.56,90.66,89.45,90.04,40869400
2014-03-20,89.76,90.56,89.58,90.29,31634500
2014-03-21,90.6,90.65,88.83,89.0,62754000
2014-03-24,89.32,89.39,87.41,88.22,77735300
2014-03-25,88.68,89.25,87.77,88.51,41723300
2014-03-26,88.95,89.15,87.36,87.37,40930400
2014-03-27,87.25,87.64,86.4,86.88,64784500
2014-03-28,87.16,88.01,86.81,87.05,39895100
2014-03-31,87.73,88.26,87.62,87.67,33924300
2014-04-01,88.1,89.27,87.71,89.21,38683800
2014-04-02,89.59,89.68,89.04,89.44,34631600
2014-04-03,89.53,89.68,88.22,88.73,30319100
2014-04-04,89.32,89.41,86.14,86.37,131213200
2014-04-07,85.83,86.63,84.95,85.55,83995800
2014-04-08,85.65,86.46,85.35,86.34,51495700
2014-04-09,86.66,87.87,86.43,87.82,45685200
2014-04-10,87.88,87.88,84.86,85.1,73659600
2014-04-11,84.34,85.44,83.91,84.11,93657400
2014-04-14,84.85,85.22,83.99,84.77,46500700
2014-04-15,85.08,85.54,83.28,85.05,84631500
2014-04-16,85.79,86.18,85.09,86.18,46970900
2014-04-17,85.85,86.63,85.63,86.2,53719500
2014-04-21,86.4,86.84,86.0,86.84,25947900
2014-04-22,87.14,87.75,86.99,87.53,38593400
2014-04-23,87.53,87.56,86.71,86.76,34376700
2014-04-24,88.19,88.21,86.65,87.59,48926300
2014-04-25,87.07,87.17,85.98,86.19,44334000
2014-04-28,86.6,87.11,85.11,86.47,58623800
2014-04-29,86.73,87.32,86.31,87.16,36742700
2014-04-30,86.76,87.48,86.54,87.39,38689400
2014-05-01,87.53,88.15,87.31,87.65,37127200
2014-05-02,87.95,88.11,87.28,87.49,40074200
2014-05-05,86.97,87.97,86.76,87.95,27924400
2014-05-06,87.81,87.86,86.77,86.81,33698500
2014-05-07,86.99,87.08,85.53,86.56,67489100
2014-05-08,86.25,87.53,86.05,86.48,46556900
2014-05-09,86.43,86.86,85.85,86.8,35081500
2014-05-12,87.32,88.26,87.24,88.23,38951100
2014-05-13,88.31,88.61,88.12,88.29,30311900
2014-05-14,88.02,88.35,87.62,87.83,26483600
2014-05-15,87.81,87.96,86.58,87.14,59680300
2014-05-16,87.24,87.76,86.64,87.71,66804100
2014-05-19,87.45,88.46,87.3,88.32,32017000
2014-05-20,88.28,88.6,87.64,88.0,33716000
2014-05-21,88.16,88.89,88.11,88.84,36837700
2014-05-22,88.94,89.48,88.8,89.23,30617100
2014-05-23,89.32,89.9,89.12,89.88,22687300
2014-05-27,90.28,91.02,90.2,91.0,29725200
2014-05-28,90.97,91.1,90.65,90.72,30468100
2014-05-29,91.04,91.31,90.86,91.3,33036100
2014-05-30,91.32,91.45,90.83,91.31,29906400
2014-06-02,91.42,91.44,90.64,91.22,30409900
2014-06-03,90.92,91.33,90.8,91.18,21774500
2014-06-04,90.95,91.67,90.81,91.52,20118300
2014-06-05,91.6,92.46,91.29,92.29,35583100
2014-06-06,92.63,92.82,92.45,92.82,22680600
2014-06-09,92.84,92.98,92.5,92.75,23399500
2014-06-10,92.67,92.96,92.56,92.91,20626000
2014-06-11,92.59,93.02,92.5,92.89,22878200
2014-06-12,92.69,92.79,91.73,92.05,35275900
2014-06-13,92.45,92.55,91.92,92.32,39447100
2014-06-16,92.16,92.67,91.96,92.4,25212300
2014-06-17,92.33,92.7,92.18,92.45,19977900
2014-06-18,92.54,93.1,91.98,92.97,34514000
2014-06-19,93.11,93.17,92.49,92.91,38422200
2014-06-20,92.7,92.87,92.53,92.77,25897500
2014-06-23,92.76,92.82,92.51,92.79,20837900
2014-06-24,92.78,93.57,92.43,92.7,31945800
2014-06-25,92.49,93.45,92.48,93.29,32818600
