Date,Open,High,Low,Close,Volume,rsi,awesome_oscillator,force_index,ease_of_movement,ease_of_movement_signal,bbands_upper,bbands_middle,bbands_lower,atr,macd,macd_signal,aroon,aroon_up,aroon_down
2014-01-21,20.14999962,20.38999939,20.07999992,20.35250092,62442000,64.83415409,0.15317497,6168861.6443623,0.15204064,0.02194683,20.33344734,19.92735043,19.52125351,0.40563392,0.12163696,0.12966071,25.0,100.0,75.0
2014-01-22,20.39999962,20.40299988,20.10000038,20.22699928,41210000,60.45266059,0.22230829,4106900.93026504,0.01213209,0.01315182,20.40298631,19.95990028,19.51681426,0.39537048,0.13444843,0.13061826,25.0,95.0,70.0
2014-01-23,20.04999924,20.30850029,19.88949966,19.99349976,60508000,53.04236813,0.25525837,791357.23778832,-0.105602,-0.00920112,20.38433078,19.94965019,19.51496961,0.39773349,0.12138772,0.12877215,25.0,90.0,65.0
2014-01-24,19.90800095,20.01000023,19.3635006,19.37999916,89168000,39.06336851,0.23628327,-9298820.63512454,-0.29889556,-0.05488671,20.42729892,19.88260002,19.33790113,0.42261011,0.05650052,0.11431782,-15.0,85.0,100.0
2014-01-27,19.52499962,19.70499992,19.02449989,19.31399918,78736000,37.8703722,0.12047491,-8552957.75575353,-0.27829881,-0.06466539,20.46840455,19.8257,19.18299545,0.4483991,0.00177449,0.09180916,-20.0,80.0,100.0
2014-01-28,19.37000084,19.73699951,19.3560009,19.7215004,57890000,48.63254635,-0.03169165,-2708738.95170672,0.11961757,-0.02948034,20.46391439,19.84295006,19.22198573,0.44585922,-0.00348622,0.07275008,-20.0,75.0,95.0
2014-01-29,19.6079998,19.64249992,19.16200066,19.20999908,67646000,39.16961139,-0.20393327,-8507335.10028002,-0.10246279,-0.04303964,20.50260245,19.77624989,19.04989733,0.45722328,-0.05160598,0.04787887,-30.0,70.0,100.0
2014-01-30,19.68849945,20.3125,19.38500023,20.15049934,209478000,56.47288818,-0.26835826,28860200.9794928,0.19769545,-0.02630781,20.57247333,19.81194973,19.05142613,0.52175104,-0.00490489,0.03732212,-30.0,65.0,95.0
2014-01-31,18.58799934,18.77249908,17.88800049,17.93449974,323096000,32.36842128,-0.50245002,-106565400.62016109,-0.41570041,-0.0604239,20.98669938,19.62639961,18.26609985,0.69582582,-0.16211046,-0.0025644,-40.0,60.0,100.0
2014-02-03,17.9489994,18.04249954,17.00499916,17.30750084,205616000,28.53886216,-0.80527509,-110630056.16258918,-0.40694523,-0.11264191,21.27361814,19.35909977,17.44458139,0.72999328,-0.32996193,-0.0680439,-45.0,55.0,100.0
2014-02-04,17.47949982,17.70000076,17.20100021,17.39749908,96258000,29.86229996,-1.14791673,-88940400.29843833,-0.03797214,-0.13164318,21.17559195,19.06359959,16.95160722,0.706894,-0.44070993,-0.14257711,-45.0,50.0,95.0
2014-02-05,17.29999924,17.46850014,16.8864994,17.32250023,88708000,29.35885636,-1.49836683,-73979054.51358598,-0.17911194,-0.15076759,20.96272462,18.77314968,16.58357475,0.69440468,-0.52155428,-0.21837254,-45.0,45.0,90.0
2014-02-06,17.37000084,17.74099922,17.37000084,17.72949982,66714000,35.87719484,-1.87203353,-55591486.32662871,0.21020698,-0.11918669,20.65131398,18.54674969,16.44218539,0.66681411,-0.5371308,-0.28212419,-45.0,40.0,85.0
2014-02-07,17.9489994,18.09000015,17.62450027,18.05400085,86610000,40.72278407,-1.89513343,-40373937.01881749,0.16218066,-0.07307907,20.45822879,18.41414986,16.37007092,0.64668269,-0.51126517,-0.32795239,-45.0,35.0,80.0
2014-02-10,18.08049965,18.25,17.96750069,18.0435009,68994000,40.61244684,-1.71398325,-33164936.44116073,0.10297796,-0.03495139,20.24790415,18.28710003,16.32629591,0.61026435,-0.4841739,-0.35919669,-45.0,30.0,75.0
2014-02-11,18.09199905,18.18050003,17.8125,18.08950043,64442000,41.38550657,-1.53643335,-26595984.08504304,-0.06410124,-0.05332327,19.83586741,18.12390003,16.41193265,0.58603792,-0.45175272,-0.3777079,-45.0,25.0,70.0
2014-02-12,17.82150078,17.88750076,17.31599998,17.46249962,131754000,34.5701169,-1.37799991,-36780325.98804325,-0.17122799,-0.06019979,19.53402165,17.94915009,16.36427852,0.60478417,-0.47421585,-0.39700949,-45.0,20.0,65.0
2014-02-13,17.38500023,17.86000061,17.32500076,17.86000061,83500000,41.37124135,-1.29649146,-24058206.205294,-0.00592644,-0.08056198,18.32571241,17.72010021,17.11448801,0.59780574,-0.4482172,-0.40725103,-45.0,15.0,60.0
2014-02-14,17.96699905,17.96699905,17.66749954,17.86750031,70404000,41.49871864,-1.23724995,-19587985.34716703,0.09560835,-0.0294311,18.31080334,17.71340027,17.1159972,0.56797511,-0.42056078,-0.40991298,-45.0,10.0,55.0
