Date,Open,High,Low,Close,Volume,rsi,stoch_rsi,stoch_rsi_d,stoch_rsi_k,stoch_osc,awesome_osc,force_index,ease_move,ease_move_signal,obv,adi,bbands_upper,bbands_middle,bbands_lower,atr,macd,macd_signal,aroon,aroon_up,aroon_down,adx,adx_neg,adx_pos,ema_50,ema_200,sma_50,sma_200
2014-09-08,99.91999817,100.33000183,99.62000275,100.08000183,25571300,70.60744075,0.46168989,0.38379661,0.32378929,87.12896342,2.38414767,3677223.74605414,1.34663743,0.30706207,702443200,1187183414.411359,101.45276811,98.58300018,95.71323226,0.76476359,1.08668495,1.08210923,84.0,100.0,16.0,27.39363352,14.95946925,26.89932874,96.67494744,90.77373556,96.69780014,90.30450005
2014-09-09,100.08999634,100.45999908,99.05999756,99.25,36449200,59.9472482,0.0,0.29835444,0.26739249,37.30575683,2.26588247,-1169937.18059338,-0.82582301,0.1693677,665994000,1160627685.038767,101.26855261,98.77250023,96.27644785,0.81013773,1.00109771,1.06590692,84.0,96.0,12.0,26.38554947,18.05041097,23.5789849,96.7759299,90.8580765,96.80780014,90.38725006
2014-09-10,99.37999725,100.11000061,99.09999847,100.06999969,31080100,65.49058757,0.35109698,0.28737025,0.27092896,79.03229776,2.14788235,2638007.06164942,-0.50369561,0.11365445,697074100,1189245943.8008437,101.03056178,99.00500031,96.97943883,0.82441376,0.98804674,1.05033489,84.0,92.0,8.0,25.44947142,16.47085099,21.51562906,96.9051091,90.94973743,96.93100006,90.46990005
2014-09-11,99.63999939,100.04000092,99.23999786,99.98999786,28691900,64.55190428,0.29164385,0.25085613,0.21424694,72.98840243,2.06944109,1933233.97620836,0.09758846,0.11286925,668382200,1214351151.0811658,100.86944096,99.18300018,97.49655941,0.82481291,0.96017992,1.03230389,84.0,88.0,4.0,24.58025609,15.2869603,19.96913016,97.02608513,91.03969027,97.03199997,90.54990005
2014-09-12,99.90000153,99.93000031,99.16999817,99.48000336,30444400,58.76908788,0.0,0.23314095,0.21424694,31.46884487,1.99320618,-561010.41523798,-0.22467287,0.06462416,637937800,1208743317.9676788,100.64522796,99.31050034,97.97577271,0.8244691,0.88672139,1.00318739,80.0,84.0,4.0,23.62602441,14.80740206,18.55049599,97.12231722,91.12367348,97.11960007,90.62635006
2014-09-15,99.58999634,99.59999847,98.22000122,98.51999664,32972200,49.73673188,0.0,0.17523617,0.09721462,13.39266556,1.70991148,-5002799.40891422,-2.67861229,-0.19367852,604965600,1190106666.883805,100.4453569,99.36650009,98.28764328,0.86414969,0.7424816,0.95104624,72.0,80.0,8.0,22.8046999,20.97081184,16.43449076,97.17712818,91.19726874,97.17600006,90.69580006
2014-09-16,98.15000153,99.56999969,98.05000305,99.37999725,38166900,56.22706432,0.24963639,0.1315579,0.08321213,55.18657224,1.46255902,400965.83453453,-0.39824388,-0.22454057,643132500,1218731698.2040446,100.35150722,99.42799988,98.50449254,0.9109959,0.68961592,0.89876017,72.0,76.0,4.0,22.28609222,19.80444727,14.47585164,97.2635152,91.27868892,97.25539993,90.76660004
2014-09-17,99.36000061,100.0,98.93000031,99.52999878,37196500,57.2636268,0.28950549,0.1200469,0.17971396,61.41071219,1.36088264,1140760.96636599,1.8841786,-0.09524855,680329000,1223250804.947861,100.33092894,99.46949997,98.608071,0.92235331,0.65230401,0.84946894,68.0,72.0,4.0,21.01410041,18.16340022,16.60633937,97.35239691,91.36079151,97.36079987,90.83560001
2014-09-18,99.83999634,100.29000092,99.73000336,100.27999878,30196700,62.09663811,0.47539667,0.20036854,0.33817952,92.53109537,1.30547126,4213155.8283137,1.01070574,0.00013353,710525700,1252368816.2911851,100.40292999,99.54850006,98.69407013,0.9107568,0.67546642,0.81466844,96.0,100.0,4.0,19.67856563,17.0807666,17.89092553,97.46720483,91.44953984,97.46719986,90.90959999
2014-09-19,100.45999908,100.55999756,99.58000183,99.98000336,46918000,59.21214827,0.36445109,0.29811485,0.37645108,76.89261072,1.25123603,1600535.67763454,0.12531939,-0.06367555,663607700,1243751537.536806,100.42196059,99.60250015,98.78303971,0.91570244,0.66198473,0.7841317,92.0,96.0,4.0,18.8655507,15.77504937,18.62936205,97.56574594,91.53442007,97.57359985,90.98244999
