Date,AMZN,AAPL,MSFT,GOOGL,TSLA,NVDA,META,NFLX
2014-06-27,16.294,22.705,41.61,29.2725,15.646,4.585,67.31,62.6171
2014-06-30,16.249,23.025,42.17,29.338,15.97,4.5775,67.46,63.2657
2014-07-01,16.293,23.38,41.86,29.3825,16.164,4.63,67.58,65.1757
2014-07-02,16.66,23.4675,41.73,29.613,16.044,4.67,68.04,67.64
2014-07-03,16.7415,23.4175,41.91,29.585,15.4193,4.6275,66.86,67.1657
2014-07-07,16.875,23.535,41.75,29.6755,15.1667,4.72,66.3,67.4429
2014-07-08,16.655,24.0675,41.87,29.3185,14.5767,4.6625,65.06,65.6643
2014-07-09,16.2355,23.86,41.98,28.9475,14.7513,4.6775,63.41,63.74
2014-07-10,16.217,23.44,41.37,28.65,14.4787,4.6875,63.31,62.0557
2014-07-11,16.7355,23.84,41.7,29.05,14.7073,4.7575,65.28,63.0657
2014-07-14,17.3515,23.965,42.22,29.53,14.666,4.7825,67.13,63.3286
2014-07-15,17.686,24.2,42.33,29.7575,15.1153,4.83,67.96,64.3843
2014-07-16,17.781,24.2425,42.51,29.8445,14.788,4.8625,67.54,64.8671
2014-07-17,17.672,23.7575,45.45,29.4485,14.4107,4.7825,67.03,63.3257
2014-07-18,17.72,23.405,44.65,30.1505,14.3967,4.725,66.8,62.9729
2014-07-21,17.905,23.7475,44.56,30.0675,14.4833,4.5925,68.81,64.5271
2014-07-22,17.7625,23.67,45.0,29.985,14.8127,4.6725,69.76,63.2829
2014-07-23,17.9525,23.855,45.45,30.1025,14.6673,4.62,69.74,61.4871
2014-07-24,17.999,24.26,44.93,30.2765,14.8833,4.545,75.96,61.3529
2014-07-25,15.865,24.2125,44.3,29.9625,14.848,4.5125,74.99,60.7143
2014-07-28,16.2125,24.455,44.36,29.8875,14.95,4.4675,75.17,60.3157
2014-07-29,16.099,24.8325,43.91,29.885,15.1073,4.4325,74.72,60.4586
2014-07-30,16.0725,24.61,44.07,29.7905,14.7947,4.4725,74.21,60.6786
2014-07-31,16.0005,24.29,43.38,29.448,15.284,4.465,74.0,61.4657
2014-08-01,15.6845,23.725,43.21,28.9275,15.0727,4.375,72.22,60.2514
2014-08-04,15.442,24.0925,42.97,28.8255,15.6253,4.4175,72.36,61.0286
2014-08-05,15.665,23.84,43.31,28.969,15.8313,4.4,73.2,60.1857
2014-08-06,15.5415,23.6875,42.74,28.475,15.9267,4.385,72.02,60.1429
2014-08-07,15.7605,23.7325,42.84,28.8025,16.6747,4.4475,73.0,62.1857
2014-08-08,15.597,23.565,43.23,28.601,16.744,4.555,73.4,64.3143
2014-08-11,15.924,23.8175,43.26,28.95,17.032,4.755,73.46,64.1743
2014-08-12,15.9445,24.01,43.04,28.75,17.2053,4.7225,73.09,64.4786
2014-08-13,16.38,24.0375,43.68,28.8225,17.4673,4.7325,73.12,64.0857
2014-08-14,16.39,24.3325,44.08,29.3345,17.4993,4.77,73.97,64.6014
2014-08-15,16.7,24.475,44.58,29.375,17.432,4.715,74.32,64.4986
2014-08-18,16.774,24.6225,44.94,29.355,17.55,4.78,74.0,66.0086
2014-08-19,16.7435,24.8525,44.97,29.7795,17.258,4.805,74.81,66.7271
2014-08-20,16.734,25.11,45.34,29.8475,16.978,4.825,74.97,66.7143
2014-08-21,16.824,25.1425,44.84,29.745,17.1013,4.8,74.92,67.3257
2014-08-22,16.6495,25.0725,45.35,29.6635,16.9693,4.7625,74.34,67.2771
2014-08-25,16.6605,25.4475,45.4,29.7385,17.2127,4.79,74.94,68.7929
2014-08-26,16.85,25.355,45.31,29.6,17.6653,4.79,75.0,68.3571
2014-08-27,17.1045,25.255,44.9,29.3905,17.5667,4.8325,75.27,68.4857
2014-08-28,17.0,25.3975,44.75,29.001,17.4593,4.7975,74.0,67.5214
2014-08-29,17.088,25.715,45.09,29.1175,17.9133,4.865,74.3,68.1214
2014-09-02,16.999,25.765,45.43,29.1475,18.3667,4.875,75.01,68.3571
2014-09-03,17.127,25.775,44.53,29.5865,19.178,4.9,77.14,68.6457
2014-09-04,17.1845,24.7125,44.74,29.6065,18.934,4.9125,75.89,68.4443
2014-09-05,17.315,24.7,45.11,29.7565,18.8367,5.0025,76.1,67.6043
2014-09-08,17.227,24.825,46.02,29.957,18.508,4.9875,77.26,67.7714
2014-09-09,17.0805,24.77,46.47,30.0135,18.866,4.925,77.59,69.4714
2014-09-10,16.715,24.5025,46.82,29.587,18.6333,4.9125,76.52,68.6
2014-09-11,16.497,25.1025,46.74,29.5,18.6973,4.8675,77.13,68.9386
2014-09-12,16.478,25.3025,46.91,29.5195,18.7,4.8825,78.02,69.0929
2014-09-15,16.5455,25.7025,46.54,29.112,18.2913,4.795,77.15,68.22
2014-09-16,16.0535,24.95,46.39,29.0475,17.01,4.7025,73.52,64.0571
2014-09-17,16.388,25.3175,46.26,29.4755,17.494,4.7725,75.96,65.2729
2014-09-18,16.272,25.4825,46.59,29.7525,17.5573,4.8175,76.77,65.3529
2014-09-19,16.38,25.5725,46.81,29.9745,17.1993,4.875,77.4,65.8571
2014-09-22,16.4245,25.45,47.3,30.125,17.0,4.8675,77.0,65.1814
2014-09-23,16.123,25.15,46.85,29.75,16.348,4.6975,76.33,63.0329
2014-09-24,16.2085,25.54,46.63,29.5785,16.7413,4.7,78.1,63.4943
2014-09-25,16.3995,25.1275,46.88,29.8495,16.8347,4.725,78.6,64.2714
2014-09-26,16.03,24.6325,45.93,29.2965,16.55,4.6425,77.59,63.5714
2014-09-29,16.025,24.6625,45.98,29.0915,16.2667,4.6,78.12,63.4386
2014-09-30,16.068,25.2025,46.37,29.3745,16.4613,4.61,79.35,64.6143
2014-10-01,16.102,25.1475,46.27,29.34,16.1467,4.62,78.78,64.0986
2014-10-02,15.846,24.8175,45.83,28.9,16.68,4.56,76.57,62.7
2014-10-03,16.018,24.86,45.98,29.205,16.8707,4.575,77.76,64.7414
2014-10-06,16.175,24.9875,46.12,29.4975,17.2753,4.575,77.19,66.0
2014-10-07,15.9715,24.8575,45.86,29.245,17.2353,4.51,77.05,65.8714
2014-10-08,15.829,24.69,45.48,28.7395,17.34,4.4775,76.18,65.2357
2014-10-09,16.0745,25.385,46.5,29.0805,17.4833,4.545,77.28,66.6614
2014-10-10,15.701,25.1725,45.6,28.3735,16.3093,4.4425,75.59,65.6857
2014-10-13,15.4935,25.3325,43.82,27.7565,15.9047,4.24,73.23,64.4643
2014-10-14,15.4,25.0975,43.87,27.507,15.2167,4.255,74.0,63.6443
2014-10-15,15.2175,24.4925,43.0,27.104,14.6667,4.2325,71.69,63.4957
2014-10-16,14.6915,23.8875,42.53,26.35,14.648,4.2825,70.79,47.5329
